social_trust,religion,age,gender,race,children,education,employment,income,rural,extreme_weather,pro_envrnmt,human_nature,cultur3,party,ideol,cncrn_natres,climate_cause,climate_risk,policy4
3.833333333,5,31,0,1,0,2,1,14000,0,3,0.375,2.5,2,4,4,1,0,5,2
6.666666667,9,40,1,1,2,7,1,160000,0,3,0.125,4.5,1,2,1,10,0,9,3
2.333333333,2,28,1,1,0,4,1,30000,0,2,0.5,1.5,3,3,4,6,1,8,2
6.166666667,3,30,1,1,1,7,1,45000,0,3,0.25,2.5,3,1,1,6,1,2,3
4.5,6,30,0,1,3,4,1,25000,0,3,0.125,2.5,4,1,6,2,0,4,3
5,6,42,1,1,2,4,1,52500,0,2,0.25,3.5,1,3,5,5,0,3,1
3.166666667,10,40,0,0,2,3,0,39000,0,3,0.375,3,2,1,4,10,1,10,1
3.166666667,6,57,0,1,2,4,0,50000,0,3,0.25,2.5,3,3,5,9,1,5,2
3.166666667,5,29,0,1,1,4,0,89000,0,3,0.125,2,4,3,4,3,0,2,1
4.166666667,9,45,0,1,0,2,0,9000,0,3,0.25,4,4,2,5,8,1,6,1
3.833333333,5,27,0,0,2,4,1,45000,0,3,0.25,2.5,1,2,3,9,1,8,1
7,7,33,1,1,2,7,1,145000,0,3,0.75,5,3,2,4,10,1,10,1
5,0,35,0,1,0,6,1,82000,0,2,0.25,2,3,1,2,8,1,8,1
4,7,37,0,1,0,2,1,36000,0,2,0.375,3,3,1,4,5,1,5,2
3.833333333,6,34,0,1,4,5,1,67000,0,3,0.125,1,2,1,4,8,1,7,2
7,5,40,0,1,4,2,0,41000,0,2,0.25,2,1,3,4,5,0,6,2
3.833333333,0,24,0,1,2,2,1,79000,0,3,0.25,2.5,1,2,6,8,0,6,3
7,10,44,1,1,1,7,1,2.00E+05,0,3,0.25,5,2,2,6,10,1,10,1
4.666666667,8,46,0,1,0,5,1,51000,0,3,0.25,3,4,2,6,5,1,7,1
5.666666667,8,38,1,1,2,7,1,150000,0,3,0.25,4,1,2,2,9,1,8,2
5.5,10,32,0,1,1,6,0,35000,0,1,0.125,3,4,2,4,4,1,10,1
